"PMID","PMCID","DOI","Version","MID","IsCurrent","IsLive","ReleaseDate","Msg"
"17483414","PMC1931532","10.1534/genetics.107.072769","PMC1931532.1","",1,1,"",""
"26439540","PMC5147715","10.1111/nph.13681","PMC5147715.1","EMS70572",1,1,"",""
"27014288","PMC4791383","10.3389/fpls.2016.00261","PMC4791383.1","",1,1,"",""
"27148293","PMC4829607","10.3389/fpls.2016.00462","PMC4829607.1","",1,1,"",""
"24592314","PMC3883422","10.12703/P6-2","PMC3883422.1","",1,1,"",""
"23128602","PMC3516852","10.1093/pcp/pcs148","PMC3516852.1","",1,1,"",""
"21884973","PMC3204374","10.1016/j.molcel.2011.07.013","PMC3204374.1","NIHMS314940",1,1,"",""
"21822060","PMC3260714","10.4161/psb.6.8.16361","PMC3260714.1","",1,1,"",""
"20459860","PMC2867782","10.1186/1741-7007-8-55","PMC2867782.1","",1,1,"",""
"20233950","PMC2861452","10.1105/tpc.109.072892","PMC2861452.1","",1,1,"",""
"19218364","PMC2689956","10.1104/pp.108.133272","PMC2689956.1","",1,1,"",""
"19011118","PMC2613671","10.1105/tpc.108.061531","PMC2613671.1","",1,1,"",""
"16617099","PMC1456873","10.1105/tpc.105.039990","PMC1456873.1","",1,1,"",""
"12574129","PMC145435","10.1093/emboj/cdg075","PMC145435.1","",1,1,"",""
"27207270","PMC4875590","10.1186/s12870-016-0810-8","PMC4875590.1","",1,1,"",""
"21098730","PMC3015110","10.1105/tpc.110.079087","PMC3015110.1","",1,1,"",""
"32973836","PMC7466579","10.3389/fpls.2020.01276","PMC7466579.1","",1,1,"",""
"32947126","PMC7502351","10.1016/j.isci.2020.101528","PMC7502351.1","",1,1,"",""
"33138078","PMC7692566","10.3390/genes11111284","PMC7692566.1","",1,1,"",""
"26886418","PMC4887756","10.1056/NEJMoa1506930","PMC4887756.1","NIHMS786174",1,1,"",""
"33794732","PMC8143237","10.1080/15592324.2021.1908708","PMC8143237.1","",1,1,"",""
"29532482","PMC6033173","10.1111/pce.13193","PMC6033173.1","",1,1,"",""
"30124938","PMC6237806","10.1093/nar/gky749","PMC6237806.1","",1,1,"",""
"34521854","PMC8440769","10.1038/s41467-021-25800-3","PMC8440769.1","",1,1,"",""
"34850882","PMC8982390","10.1093/jxb/erab526","PMC8982390.1","",1,1,"",""
"34893084","PMC8662853","10.1186/s41021-021-00224-z","PMC8662853.1","",1,1,"",""
"34931682","PMC8894950","10.1093/plcell/koab304","PMC8894950.1","",1,1,"",""
"34991659","PMC8740349","10.1186/s13045-021-01223-x","PMC8740349.1","",1,1,"",""
"35008619","PMC8745339","10.3390/ijms23010194","PMC8745339.1","",1,1,"",""
"35115233","PMC8755267","10.1016/j.cytogfr.2022.01.001","PMC8755267.1","",1,1,"",""
"35236826","PMC8891362","10.1038/s41419-022-04652-9","PMC8891362.1","",1,1,"",""
"31274993","PMC6565938","10.5511/plantbiotechnology.16.0601a","PMC6565938.1","",1,1,"",""
"35392804","PMC8991566","10.1186/s12864-022-08526-4","PMC8991566.1","",1,1,"",""
"31308379","PMC6629618","10.1038/s41467-019-11071-6","PMC6629618.1","",1,1,"",""
"35567528","PMC9348821","10.1093/plphys/kiac226","PMC9348821.1","",1,1,"",""
"35650753","PMC9072810","10.1016/j.jhazmat.2022.129075","PMC9072810.1","",1,1,"",""
"31484822","PMC6777911","10.1172/jci.insight.128900","PMC6777911.1","",1,1,"",""
"36266698","PMC9585842","10.1186/s12915-022-01430-z","PMC9585842.1","",1,1,"",""
"36280686","PMC9592574","10.1038/s41467-022-33958-7","PMC9592574.1","",1,1,"",""
"32336668","PMC7327986","10.1016/j.redox.2020.101475","PMC7327986.1","",1,1,"",""
"32733028","PMC7393108","10.1038/s42003-020-01144-4","PMC7393108.1","",1,1,"",""
"27734958","PMC5065627","10.1038/ncomms13181","PMC5065627.1","",1,1,"",""
"34763664","PMC8582215","10.1186/s12870-021-03305-x","PMC8582215.1","",1,1,"",""
"35384713","PMC9109819","10.1161/CIRCULATIONAHA.121.056265","PMC9109819.1","NIHMS1788494",0,0,"2023-04-19",""
"36430613","PMC9695588","10.3390/ijms232214134","PMC9695588.1","",1,1,"",""
"34043421","PMC8513806","10.1161/CIRCRESAHA.121.319308","PMC8513806.1","NIHMS1699430",1,1,"",""
"34115390","PMC8664901","10.1002/jcop.22581","PMC8664901.1","NIHMS1689445",1,1,"",""
"34622177","PMC8479781","10.1016/j.isci.2021.103147","PMC8479781.1","",1,1,"",""
"35243508","PMC8894920","10.1093/plcell/koab308","PMC8894920.1","",1,1,"",""
"35243509","PMC8894929","10.1093/plcell/koab311","PMC8894929.1","",1,1,"",""
"35519515","PMC9065898","10.1016/j.xinn.2022.100247","PMC9065898.1","",1,1,"",""
"35529947","PMC9073327","10.1016/j.xplc.2021.100265","PMC9073327.1","",1,1,"",""
"35674369","PMC9516744","10.1093/plphys/kiac276","PMC9516744.1","",1,1,"",""
"35835799","PMC9283388","10.1038/s41598-022-14850-2","PMC9283388.1","",1,1,"",""
"36104341","PMC9474459","10.1038/s41467-022-33105-2","PMC9474459.1","",1,1,"",""
"36311064","PMC9608124","10.3389/fpls.2022.1009998","PMC9608124.1","",1,1,"",""
"36340195","PMC9635355","10.7717/peerj.14165","PMC9635355.1","",1,1,"",""
"12007421","","","","","",0,"","invalid article id"
"10023572","","","","","",0,"","invalid article id"
"22806968","","","","","",0,"","invalid article id"
"33405366","","","","","",0,"","invalid article id"
"34170163","","","","","",0,"","invalid article id"
"33095906","","","","","",0,"","invalid article id"
"31478783","","","","","",0,"","invalid article id"
"16212608","","","","","",0,"","invalid article id"
"30324736","","","","","",0,"","invalid article id"
"34491504","","","","","",0,"","invalid article id"
